x,y,z
273,181,a
272,181,a
271,181,a
271,181,a
270,181,a
270,181,a
269,181,a
269,181,a
268,181,a
267,181,a
266,181,a
266,181,a
265,181,a
264,181,a
264,182,a
263,182,a
263,182,a
262,182,a
261,182,a
259,183,a
259,184,a
259,184,a
259,185,a
258,185,a
258,185,a
258,186,a
258,186,a
258,187,a
258,187,a
258,188,a
258,188,a
258,189,a
258,189,a
258,190,a
258,194,a
258,195,a
258,195,a
259,195,a
259,198,a
259,199,a
259,199,a
260,201,a
260,202,a
261,204,a
262,205,a
263,205,a
263,205,a
263,208,a
264,209,a
265,210,a
267,211,a
268,212,a
269,213,a
271,215,a
272,217,a
272,217,a
276,219,a
277,220,a
278,223,a
280,224,a
282,225,a
284,225,a
285,227,a
286,228,a
288,229,a
289,230,a
291,231,a
292,232,a
293,233,a
294,233,a
296,234,a
299,235,a
301,235,a
305,237,a
306,237,a
309,239,a
310,240,a
311,240,a
312,240,a
316,241,a
317,241,a
323,242,a
324,242,a
326,242,a
326,242,a
329,242,a
330,242,a
331,242,a
333,242,a
336,242,a
337,241,a
338,241,a
338,241,a
339,241,a
340,241,a
343,240,a
344,240,a
345,240,a
345,239,a
346,239,a
349,237,a
351,237,a
352,236,a
353,235,a
354,234,a
356,232,a
358,231,a
359,229,a
361,228,a
361,228,a
361,227,a
362,226,a
364,222,a
365,221,a
366,220,a
368,216,a
369,216,a
369,215,a
370,212,a
371,211,a
371,208,a
373,206,a
374,206,a
375,203,a
375,202,a
376,200,a
377,199,a
378,195,a
378,194,a
380,192,a
380,189,a
381,187,a
382,185,a
382,184,a
383,184,a
383,180,a
385,172,a
386,171,a
386,170,a
386,169,a
387,167,a
388,165,a
388,164,a
388,163,a
388,161,a
389,157,a
390,153,a
390,152,a
390,152,a
391,150,a
391,150,a
391,148,a
392,145,a
392,144,a
392,143,a
392,142,a
392,142,a
392,141,a
392,140,a
392,139,a
391,137,a
390,134,a
389,131,a
389,128,a
389,127,a
389,126,a
389,126,a
389,123,a
389,121,a
388,120,a
388,117,a
387,116,a
386,113,a
386,112,a
386,110,a
386,108,a
385,108,a
385,107,a
385,106,a
385,103,a
384,100,a
384,99,a
383,99,a
383,97,a
382,95,a
381,92,a
380,89,a
379,87,a
378,87,a
377,86,a
374,80,a
372,78,a
371,78,a
368,76,a
367,74,a
365,73,a
364,72,a
362,71,a
355,68,a
355,67,a
352,67,a
350,66,a
347,65,a
343,64,a
